Genre,Album Length,Worldwide Sales (Est.),Ranking,row
Pop,40-60,10-15,1,200
Pop,<40,10-15,2,201
Hip Hop,60-80,5-10,3,202
Country,60-80,5-10,4,203
Pop,40-60,5-10,5,204
Pop,<40,5-10,6,205
Country,40-60,<5,7,206
Country,40-60,<5,8,207
Pop,40-60,<5,9,208
Hip Hop,60-80,<5,10,209
Pop,40-60,>20,1,210
Pop,40-60,15-20,2,211
Pop,40-60,5-10,3,212
Pop,60-80,5-10,4,213
Hip Hop,>80,5-10,5,214
Pop,40-60,5-10,6,215
Hip Hop,40-60,5-10,7,216
Hip Hop,60-80,5-10,8,217
Pop,<40,<5,9,218
Rock,40-60,<5,10,219
Rock,40-60,5-10,1,220
Pop,<40,5-10,2,221
Pop,60-80,5-10,3,222
Pop,40-60,5-10,4,223
Rock,40-60,5-10,5,224
Pop,40-60,5-10,6,225
R&B,40-60,<5,7,226
Rock,40-60,<5,8,227
Pop,40-60,<5,9,228
Pop,40-60,<5,10,229
Pop,60-80,10-15,1,230
Hip Hop,60-80,5-10,2,231
Pop,40-60,5-10,3,232
EDM,40-60,5-10,4,233
Pop,40-60,<5,5,234
Hip Hop,40-60,<5,6,235
Pop,60-80,<5,7,236
Country,40-60,<5,8,237
Pop,<40,<5,9,238
Pop,40-60,<5,10,239
Pop,40-60,10-15,1,240
Pop,40-60,10-15,2,241
Pop,<40,5-10,3,242
Blues,40-60,<5,4,243
Pop,40-60,<5,5,244
Rock,40-60,<5,6,245
Pop,40-60,<5,7,246
Hip Hop,60-80,<5,8,247
Pop,40-60,<5,9,248
Rock,40-60,<5,10,249
Pop,40-60,>20,1,250
Pop,40-60,10-15,2,251
Hip Hop,40-60,5-10,3,252
Rock,40-60,5-10,4,253
R&B,60-80,5-10,5,254
Hip Hop,>80,<5,6,255
Country,60-80,<5,7,256
Pop,<40,<5,8,257
Pop,40-60,<5,9,258
Pop,<40,<5,10,259
Hip Hop,>80,5-10,1,260
Hip Hop,40-60,5-10,2,261
R&B,60-80,<5,3,262
Pop,40-60,<5,4,263
Pop,<40,<5,5,264
Pop,40-60,<5,6,265
Pop,<40,<5,7,266
Pop,40-60,<5,8,267
Pop,40-60,<5,9,268
Pop,60-80,<5,10,269
Pop,40-60,10-15,1,270
Pop,<40,5-10,2,271
Pop,40-60,5-10,3,272
Rock,<40,<5,4,273
Hip Hop,40-60,<5,5,274
R&B,40-60,<5,6,275
Country,40-60,<5,7,276
Rock,>80,<5,8,277
R&B,40-60,<5,9,278
Pop,<40,<5,10,279
Hip Hop,60-80,5-10,1,280
Hip Hop,>80,5-10,2,281
Hip Hop,40-60,<5,3,282
Pop,>80,<5,4,283
Pop,60-80,<5,5,284
Hip Hop,<40,<5,6,285
Hip Hop,40-60,<5,7,286
Hip Hop,40-60,<5,8,287
Pop,40-60,<5,9,288
Rock,60-80,<5,10,289
Pop,40-60,5-10,1,290
Hip Hop,40-60,5-10,2,291
Pop,<40,5-10,3,292
Pop,60-80,<5,4,293
Pop,40-60,<5,5,294
Pop,40-60,<5,6,295
Country,40-60,<5,7,296
Pop,>80,<5,8,297
Pop,<40,<5,9,298
Pop,40-60,<5,10,299
